siret,siren,activitePrincipaleEtablissement,numeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,etatAdministratifEtablissement
04008650600017,040086506,81.10Z,51,RUE,MARCEL PAGNOL,69200,VENISSIEUX,A
03882428000010,038824280,81.10Z,1,AVENUE,GAMBETTA,94700,MAISONS-ALFORT,A
03907588200017,039075882,81.10Z,150,RUE,DE LA ROQUETTE,75011,PARIS,A
03936882400015,039368824,81.10Z,58,AVENUE,SIMON BOLIVAR,75019,PARIS,A
03883205100015,038832051,81.10Z,127,AVENUE,DE LA REPUBLIQUE,94300,VINCENNES,A
03929217200010,039292172,81.10Z,18,RUE,PAUL FORT,75014,PARIS,A
01725114100036,017251141,18.12Z,400,BOULEVARD,CHARLES DE GAULLE,21160,MARSANNAY-LA-COTE,A
02080972900013,020809729,81.10Z,,,,20240,GHISONACCIA,A
03904929100014,039049291,81.10Z,39,RUE,MARX DORMOY,75018,PARIS,A
04009322100014,040093221,81.10Z,85,RUE,DE CHAVRIL,69110,SAINTE-FOY-LES-LYON,A
03934670500013,039346705,81.10Z,6,AVENUE,DU GENERAL DE GAULLE,78140,VELIZY-VILLACOUBLAY,A
03901808000018,039018080,81.10Z,5,RUE,PHILIBERT LUCOT,75013,PARIS,A
03891714200010,038917142,81.10Z,88,AVENUE,DU GENERAL DE GAULLE,94160,SAINT-MANDE,A
02150807200010,021508072,81.10Z,253,AVENUE,JEAN DALMAS,13090,AIX-EN-PROVENCE,A
03887196800012,038871968,81.10Z,1,RUE,PIERRE BROSSOLETTE,92400,COURBEVOIE,A
03878966500015,038789665,81.10Z,19,RUE,DE MILAN,75009,PARIS,A
03916653300016,039166533,81.10Z,38,AVENUE,HOCHE,75008,PARIS,A
03931039600013,039310396,81.10Z,7,RUE,LEON JOST,75017,PARIS,A
02405365400026,024053654,01.22Z,,,MBIYA MAFOUNDRE,97660,BANDRELE,A
02196206300018,021962063,81.10Z,59,AVENUE,MONCLAR,84000,AVIGNON,A
03903333700013,039033337,81.10Z,15,RUE,AUBER,75009,PARIS,A
03920186800013,039201868,81.10Z,17,AVENUE,VICTOR HUGO,92100,BOULOGNE-BILLANCOURT,A
02150705800010,021507058,81.10Z,112,BOULEVARD,DE LA CORDERIE,13007,MARSEILLE,A
03787616600010,037876166,81.10Z,8,RUE,DE LA MESANGE,67000,STRASBOURG,A
03922419100013,039224191,81.10Z,17,RUE,RACINE,75006,PARIS,A
03895071300016,038950713,81.10Z,3,PLACE,HOCHE,78000,VERSAILLES,A
03842517900017,038425179,81.10Z,35,RUE,ENGEL DOLLFUS,68200,MULHOUSE,A
04011637800015,040116378,81.10Z,31,RUE,JARENTE,69002,LYON,A
03899256600018,038992566,81.10Z,40,AVENUE,DE VILLIERS,75017,PARIS,A
01980183600016,019801836,81.10Z,24,RUE,DES SUISSES,06400,CANNES,A
03902305600011,039023056,81.10Z,41,RUE,DE SAINT-PETERSBOURG,75008,PARIS,A
03890822400017,038908224,81.10Z,7,RUE,DAVOUST,93500,PANTIN,A
03899978500017,038999785,81.10Z,11,RUE,BELLIER-DEDOUVRE,75013,PARIS,A
03928242100013,039282421,81.10Z,1,PLACE,DE L'ECOLE,75001,PARIS,A
03926720800013,039267208,81.10Z,5,RUE,CLAUDE BERNARD,75005,PARIS,A
03882123700013,038821237,81.10Z,2,RUE,DEDOUVRE,94250,GENTILLY,A
03870079500016,038700795,81.10Z,63,RUE,DE PONTHIEU,75008,PARIS,A
03925422200019,039254222,81.10Z,20,RUE,DE MAUBEUGE,75009,PARIS,A
01451703100010,014517031,81.10Z,5,PLACE,DE LA GRANDE FONTAINE,90000,BELFORT,A
03905440800016,039054408,81.10Z,15,RUE,CLAUDE TILLIER,75012,PARIS,A
03887159600011,038871596,81.10Z,3,ALLEE,DE GAGNY,93340,LE RAINCY,A
03917999900014,039179999,81.10Z,13,PLACE,KOSSUTH,75009,PARIS,A
03787300700019,037873007,81.10Z,418,BOULEVARD,DE LA VICTOIRE,67000,STRASBOURG,A
03899077600015,038990776,81.10Z,40,RUE,BOURET,75019,PARIS,A
00971683800017,009716838,81.10Z,99,AVENUE,EDOUARD HERRIOT,10000,TROYES,A
03910705700018,039107057,81.10Z,10,RUE,DE SAINT-SENOCH,75017,PARIS,A
03870233800013,038702338,81.10Z,9,RUE,BAYARD,75008,PARIS,A
03921660100011,039216601,81.10Z,84,RUE,BLANCHE,75009,PARIS,A
03928628100017,039286281,81.10Z,15,RUE,DECAMPS,75016,PARIS,A
04207258700019,042072587,81.10Z,1,RUE,ANDRE ABRY,38100,GRENOBLE,A
03904379900012,039043799,81.10Z,27,RUE,BLEUE,75009,PARIS,A
03906272400016,039062724,81.10Z,33,RUE,BAYEN,75017,PARIS,A
03858183100013,038581831,81.10Z,3,RUE,DE RIBEAUVILLE,67100,STRASBOURG,A
03907685600010,039076856,81.10Z,33,BOULEVARD,SUCHET,75016,PARIS,A
03841861200016,038418612,81.10Z,16,RUE,DE BOURGOGNE,68400,RIEDISHEIM,A
03909203600019,039092036,81.10Z,5,RUE,DU MOULIN JOLY,75011,PARIS,A
03892142500013,038921425,81.10Z,1,AVENUE,DU GENERAL LECLERC,92210,SAINT-CLOUD,A
03929780900012,039297809,81.10Z,54,AVENUE,PHILIPPE-AUGUSTE,75011,PARIS,A
03894628100029,038946281,81.10Z,18,AVENUE,EUGENE THOMAS,94270,LE KREMLIN-BICETRE,A
03880264100019,038802641,81.10Z,1,ROUTE,DE GALLARDON,92310,SEVRES,A
03935695100010,039356951,81.10Z,6,BOULEVARD,BEAUMARCHAIS,75011,PARIS,A
03937426900015,039374269,81.10Z,195,RUE,DE PARIS,93100,MONTREUIL,A
03898257500011,038982575,81.10Z,27,RUE,DE LA COUR DES NOUES,75020,PARIS,A
03272099700017,032720997,81.10Z,,AVENUE,DES TOURELLES DE CHARLIN,33700,MERIGNAC,A
03912269200013,039122692,81.10Z,53,RUE,GANNERON,75018,PARIS,A
01485757700010,014857577,81.10Z,,RUE,MEALLET DE COURS,15000,AURILLAC,A
03901698500010,039016985,81.10Z,5,RUE,LENEVEUX,75014,PARIS,A
03902321300018,039023213,81.10Z,7,RUE,DESCOMBES,75017,PARIS,A
03927841100010,039278411,81.10Z,8,RUE,GUYNEMER,75006,PARIS,A
03520970900019,035209709,81.10Z,1,CHEMIN,DE LA BUTTE,31400,TOULOUSE,A
03914860600013,039148606,81.10Z,91,AVENUE,FELIX FAURE,75015,PARIS,A
03930327600016,039303276,81.10Z,3,RUE,DE DIJON,75012,PARIS,A
03702025200013,037020252,49.41A,146,AVENUE,DE LA GRANGE RIMADE,06270,VILLENEUVE-LOUBET,A
03905573600019,039055736,81.10Z,6,RUE,DE ROME,75008,PARIS,A
03873793800019,038737938,81.10Z,11,RUE,DEGAS,75016,PARIS,A
03916599800012,039165998,81.10Z,54,RUE,ALEXIS LEPERE,93100,MONTREUIL,A
03923137800017,039231378,81.10Z,13,AVENUE,DE LA MOTTE-PICQUET,75007,PARIS,A
03891688800019,038916888,81.10Z,66,BOULEVARD,DE CRETEIL,94100,SAINT-MAUR-DES-FOSSES,A
03902045800012,039020458,81.10Z,15,RUE,D'ARGENTEUIL,75001,PARIS,A
03886195100010,038861951,81.10Z,63,AVENUE,DE VILLIERS,75017,PARIS,A
01978193900012,019781939,81.10Z,15,RUE,PARMENTIER,06100,NICE,A
03869266100010,038692661,81.10Z,3,RUE,DU POT DE FER,75005,PARIS,A
03891619300014,038916193,81.10Z,10,BOULEVARD,JEAN ALLEMANE,95100,ARGENTEUIL,A
04013789500013,040137895,81.10Z,10,RUE,CHAMBFORT,69100,VILLEURBANNE,A
04207326200018,042073262,81.10Z,18,RUE,DOYEN GOSSE,38400,SAINT-MARTIN-D'HERES,A
03880300300011,038803003,81.10Z,22,RUE,DESBASSAYNS DE RICHEMONT,92150,SURESNES,A
03915055200014,039150552,81.10Z,6,RUE,DE ROME,75008,PARIS,A
03938032400010,039380324,81.10Z,16,RUE,DES IMMEUBLES INDUSTRIELS,75011,PARIS,A
01989967300016,019899673,81.10Z,14,RUE,VERNIER,06000,NICE,A
03869156400017,038691564,81.10Z,36,BOULEVARD,SAINT-GERMAIN,75005,PARIS,A
03893763700015,038937637,81.10Z,97,RUE,DES FERMETTES,78420,CARRIERES-SUR-SEINE,A
03890897600012,038908976,81.10Z,12,AVENUE,GAMBETTA,94600,CHOISY-LE-ROI,A
01321804500014,013218045,81.10Z,109,QUAI,PAUL BOUDET,53000,LAVAL,A
03887119000013,038871190,81.10Z,6,AVENUE,DE MONSIEUR,91800,BRUNOY,A
03875589800020,038755898,81.10Z,2,RUE,DE VILLAFRANCA,75015,PARIS,A
04011208800014,040112088,81.10Z,48,AVENUE,MARCEL CERDAN,69100,VILLEURBANNE,A
02102012800019,021020128,81.10Z,,AVENUE,DE LA RESISTANCE,83000,TOULON,A
03877719900019,038777199,81.10Z,72,RUE,LOUIS MOREAU,91150,ETAMPES,A
03899328300019,038993283,81.10Z,13,AVENUE,DE LA MOTTE-PICQUET,75007,PARIS,A
03915583300013,039155833,81.10Z,2,BOULEVARD,DE LA GARE,95210,SAINT-GRATIEN,A
01978053500019,019780535,81.10Z,42,RUE,DES POTIERS,06000,NICE,A
03877910400017,038779104,81.10Z,37,RUE,DE ROME,75008,PARIS,A
03902166200018,039021662,81.10Z,43,BOULEVARD,LANNES,75016,PARIS,A
01449753100013,014497531,81.10Z,118,AVENUE,JEAN JAURES,90000,BELFORT,A
03902742000015,039027420,81.10Z,10,RUE,SIMON DEREURE,75018,PARIS,A
03923036200012,039230362,81.10Z,29,RUE,CAILLAUX,75013,PARIS,A
04009755200018,040097552,81.10Z,200,AVENUE,PAUL SANTY,69008,LYON,A
03928154800014,039281548,81.10Z,9,RUE,ARSENE HOUSSAYE,75008,PARIS,A
03917772000016,039177720,81.10Z,69,AVENUE,DE ROBINSON,92350,LE PLESSIS-ROBINSON,A
03888804600018,038888046,81.10Z,30,ALLEES,LEON GAMBETTA,92110,CLICHY,A
03914907500010,039149075,81.10Z,39,RUE,DE RIVOLI,75004,PARIS,A
03888107400017,038881074,81.10Z,15,BOULEVARD,DE L'ORANGERIE,95160,MONTMORENCY,A
03522630700011,035226307,81.10Z,19,RUE,DE NIMES,31400,TOULOUSE,A
03916223500012,039162235,81.10Z,66,AVENUE,HENRI GINOUX,92120,MONTROUGE,A
03889654400012,038896544,81.10Z,4,RUE,DU COMMANDANT RIVIERE,75008,PARIS,A
03906528900017,039065289,81.10Z,173,RUE,DE COURCELLES,75017,PARIS,A
03896893900017,038968939,81.10Z,21,AVENUE,DE LA MOTTE-PICQUET,75007,PARIS,A
00973312200015,009733122,81.10Z,46,CRS,PRESIDENT JF KENNEDY,35000,RENNES,A
03931140200018,039311402,81.10Z,2,AVENUE,DE NEW YORK,75016,PARIS,A
01967304500019,019673045,81.10Z,70,AVENUE,JEAN GIONO,04100,MANOSQUE,A
03901696900014,039016969,81.10Z,34,RUE,GODOT DE MAUROY,75009,PARIS,A
03901126700018,039011267,81.10Z,9,RUE,MILTON,75009,PARIS,A
01979011200015,019790112,81.10Z,2,PLACE,DE LA REPUBLIQUE,06230,VILLEFRANCHE-SUR-MER,A
03873438000017,038734380,81.10Z,27,RUE,ROBERT DE FLERS,75015,PARIS,A
03881579100017,038815791,81.10Z,3,RUE,NICOLAS COPERNIC,93290,TREMBLAY-EN-FRANCE,A
04013166600014,040131666,81.10Z,3,AVENUE,JEAN JAURES,69007,LYON,A
00802158600014,008021586,81.10Z,81,AVENUE,BAUDIN,87000,LIMOGES,A
03929793200012,039297932,81.10Z,2,RUE,DE VIENNE,75008,PARIS,A
03885699300019,038856993,81.10Z,1,AVENUE,JEAN JAURES,93110,ROSNY-SOUS-BOIS,A
01287132300015,012871323,81.10Z,,RUE,DE LA PAIX - EQUEURDREVILLE,50100,CHERBOURG-EN-COTENTIN,A
03926403100012,039264031,81.10Z,10,SQUARE,DESAIX,75015,PARIS,A
01956807000015,019568070,81.10Z,,,,05260,CHABOTTES,A
03958438800019,039584388,81.10Z,9,AVENUE,DE SOISSONS,02400,CHATEAU-THIERRY,A
02572071500025,025720715,43.32A,,,ZI DE LAVILLE,47240,BON-ENCONTRE,A
03894604200017,038946042,81.10Z,28,RUE,DE LA PAROISSE,78000,VERSAILLES,A
02150595300014,021505953,81.10Z,9,AVENUE,SOLVERT,13009,MARSEILLE,A
03937017600016,039370176,81.10Z,10,RUE,BARBETTE,75003,PARIS,A
03885132500019,038851325,81.10Z,11,RUE,DU COMMANDANT L'HERMINIER,93300,AUBERVILLIERS,A
03927283600014,039272836,81.10Z,5,PLACE,DE L'ODEON,75006,PARIS,A
03910810500014,039108105,81.10Z,40,RUE,DE CHABROL,75010,PARIS,A
03878912900012,038789129,81.10Z,17,RUE,FOURNIER,92110,CLICHY,A
03858382900015,038583829,81.10Z,1,RUE,OBERLIN,67000,STRASBOURG,A
03898584200012,038985842,81.10Z,60,RUE,DE SAUSSURE,75017,PARIS,A
03913692400014,039136924,81.10Z,15,BOULEVARD,DE COURCELLES,75008,PARIS,A
04012598100015,040125981,81.10Z,9,RUE,VAUDREY,69003,LYON,A
03891133500016,038911335,81.10Z,118,ALLEE,JULES AUFFRET,93320,LES PAVILLONS-SOUS-BOIS,A
01976198000010,019761980,81.10Z,41,BOULEVARD,MONTFLEURY,06400,CANNES,A
03915282200019,039152822,81.10Z,6,AVENUE,DE VERDUN,92170,VANVES,A
03916173200019,039161732,81.10Z,83,RUE,JEAN JAURES,92170,VANVES,A
03901074900016,039010749,81.10Z,54,RUE,LA CONDAMINE,75017,PARIS,A
03877303200016,038773032,81.10Z,4,RUE,CARNOT,78000,VERSAILLES,A
03869510200012,038695102,81.10Z,151,BOULEVARD,DU MONTPARNASSE,75006,PARIS,A
03923116200015,039231162,81.10Z,70,RUE,DE L'UNIVERSITE,75007,PARIS,A
03890681400017,038906814,81.10Z,26,RUE,ADOLPHE GUYOT,92270,BOIS-COLOMBES,A
03902258700016,039022587,81.10Z,97,RUE,DE ROME,75017,PARIS,A
03725010700010,037250107,45.20A,86,RUE,BOUDIER,39500,TAVAUX,A
01133935500015,011339355,81.10Z,,CITE,DE L'HOTEL DE VILLE,54190,VILLERUPT,A
03922303700019,039223037,81.10Z,93,AVENUE,KLEBER,75016,PARIS,A
04007784400013,040077844,81.10Z,86,RUE,PIERRE DELORE,69008,LYON,A
04015029400011,040150294,81.10Z,,RUE,BARTHELEMY THIMONNIER,69210,L'ARBRESLE,A
03894819600019,038948196,81.10Z,7,RUE,DE MAUREPAS,92500,RUEIL-MALMAISON,A
03931931400017,039319314,81.10Z,65,RUE,DES CEVENNES,75015,PARIS,A
03895994600013,038959946,81.10Z,98,RUE,D'ALESIA,75014,PARIS,A
03895555500016,038955555,81.10Z,56,AVENUE,LEDRU-ROLLIN,75012,PARIS,A
03921507400012,039215074,81.10Z,24,RUE,DES TROIS FRERES,75018,PARIS,A
03935112700012,039351127,81.10Z,5,RUE,CACHEUX,92400,COURBEVOIE,A
03930450600015,039304506,81.10Z,71,RUE,DE PROVENCE,75009,PARIS,A
03907292100016,039072921,81.10Z,29,RUE,DE MOGADOR,75009,PARIS,A
03885896500015,038858965,81.10Z,70,RUE,CORTAMBERT,75016,PARIS,A
03921787200017,039217872,81.10Z,46,RUE,MONGE,75005,PARIS,A
03911845000012,039118450,81.10Z,38,AVENUE,HOCHE,75008,PARIS,A
03930891100013,039308911,81.10Z,91,AVENUE,FELIX FAURE,75015,PARIS,A
03905100800017,039051008,81.10Z,18,RUE,GAY-LUSSAC,75005,PARIS,A
04011245000016,040112450,81.10Z,59,RUE,DE CREQUI,69006,LYON,A
03858297900019,038582979,81.10Z,6,AVENUE,DE LA PAIX-SIMONE VEIL,67000,STRASBOURG,A
03928213200016,039282132,81.10Z,1,BOULEVARD,DIDEROT,75012,PARIS,A
03885295000013,038852950,81.10Z,23,RUE,RIGAULT,92000,NANTERRE,A
03904329400014,039043294,81.10Z,11,RUE,DE LA REUNION,75020,PARIS,A
03900475900013,039004759,81.10Z,18,RUE,BENARD,75014,PARIS,A
00678051400052,006780514,22.19Z,,,USINE D'ANTIERES,85610,CUGAND,A
03820360000010,038203600,81.10Z,10,PLACE,DE LA PUCELLE D’ORLEANS,76000,ROUEN,A
01977020500011,019770205,81.10Z,25,RUE,PAUL DEROULEDE,06000,NICE,A
03918534300017,039185343,81.10Z,21,RUE,MADELEINE MICHELIS,92200,NEUILLY-SUR-SEINE,A
04010849000018,040108490,81.10Z,54,COURS,DE LA LIBERTE,69003,LYON,A
03894508500017,038945085,81.10Z,7,RUE,PAUL BARRUEL,75015,PARIS,A
02627493600025,026274936,68.20B,500,ROUTE,DE CHIZE,79360,BEAUVOIR-SUR-NIORT,A
01988289300019,019882893,81.10Z,,AVENUE,GASTON DE FONTMICHEL,06210,MANDELIEU-LA-NAPOULE,A
03870315300015,038703153,81.10Z,173,RUE,DE COURCELLES,75017,PARIS,A
03923787000017,039237870,81.10Z,43,RUE,BLANCHE,75009,PARIS,A
03893976500012,038939765,81.10Z,16,RUE,DE LA CHANCELLERIE,78000,VERSAILLES,A
04011184100017,040111841,81.10Z,28,CHEMIN,DE LA RAUDE,69160,TASSIN-LA-DEMI-LUNE,A
01485846800011,014858468,81.10Z,41,AVENUE,DE LA REPUBLIQUE,15000,AURILLAC,A
01976006500011,019760065,81.10Z,6,AVENUE,CHATEAUBRIAND,06100,NICE,A
03927275200013,039272752,81.10Z,91,AVENUE,FELIX FAURE,75015,PARIS,A
03937020000014,039370200,81.10Z,19,RUE,JULES GUESDE,93140,BONDY,A
04009412000017,040094120,81.10Z,24,RUE,CRILLON,69006,LYON,A
01979919600019,019799196,81.10Z,9,RUE,DE JUSSIEU,06000,NICE,A
03935319800011,039353198,81.10Z,151,RUE,GAMBETTA,94120,FONTENAY-SOUS-BOIS,A
03904282500032,039042825,68.20B,32,RUE,KLEBER,93500,PANTIN,A
03919339600015,039193396,81.10Z,31,AVENUE,DE LA MARNE,92120,MONTROUGE,A
01291242400012,012912424,81.10Z,4,RUE,DE LA HERBAUDIERE,50000,SAINT-LO,A
03881781300017,038817813,81.10Z,12,AVENUE,DU PONT-ROYAL,94230,CACHAN,A
03351224500011,033512245,81.10Z,,AVENUE,DE LA CHAMBRE D' AMOUR,64600,ANGLET,A
03882399300019,038823993,81.10Z,3,GRANDE RUE,CHARLES DE GAULLE,94130,NOGENT-SUR-MARNE,A
04013197100018,040131971,81.10Z,57,AVENUE,DU POINT DU JOUR,69005,LYON,A
03897633800012,038976338,81.10Z,59,RUE,DE COURCELLES,75008,PARIS,A
03969602600010,039696026,81.10Z,4,RUE,HONORE DE BALZAC,42000,SAINT-ETIENNE,A
03911766800010,039117668,81.10Z,21,RUE,SAINT-GUILLAUME,75007,PARIS,A
03871459800018,038714598,81.10Z,6,RUE,GUENOT,75011,PARIS,A
03906663400013,039066634,81.10Z,16,RUE,DE SAINT-SIMON,75007,PARIS,A
03894272800015,038942728,81.10Z,33,AVENUE,VICTOR HUGO,92140,CLAMART,A
02407520200028,024075202,47.41Z,,,QUARTIER MSAKOUANI PRES DE HERVE,97600,MAMOUDZOU,A
04014053500010,040140535,68.20A,6,AVENUE,ADOLPHE MAX,69005,LYON,A
04207254600015,042072546,81.10Z,5,AVENUE,FELIX VIALLET,38000,GRENOBLE,A
03969297500012,039692975,81.10Z,110,RUE,DE LA RICHELANDIERE,42100,SAINT-ETIENNE,A
03918035100015,039180351,81.10Z,58,AVENUE,DU ROULE,92200,NEUILLY-SUR-SEINE,A
01491607600020,014916076,81.10Z,,RUE,MAURICE BARRES,43000,LE PUY-EN-VELAY,A
02734067800021,027340678,68.20A,[ND],[ND],[ND],[ND],CONCARNEAU,A
03970233700013,039702337,81.10Z,9,RUE,DE LA TALAUDIERE,42000,SAINT-ETIENNE,A
03882346400011,038823464,81.10Z,35,RUE,EDMOND NOCARD,94700,MAISONS-ALFORT,A
01472867900011,014728679,81.10Z,6,RUE,ROBERT PERRAULT,03000,MOULINS,A
03879492100015,038794921,81.10Z,35,RUE,GALLIENI,92240,MALAKOFF,A
03913228700010,039132287,81.10Z,64,RUE,DU RANELAGH,75016,PARIS,A
03906761600019,039067616,81.10Z,40,AVENUE,DE VILLIERS,75017,PARIS,A
01365948700014,013659487,81.10Z,16,PLACE,CENTRALE,25550,BAVANS,A
03891173100016,038911731,81.10Z,1,ALLEE,DE BRETAGNE,95130,LE PLESSIS-BOUCHARD,A
03858774700015,038587747,81.10Z,7,ALLEE,DU MAIRE KNOLL,67600,SELESTAT,A
00645022500039,006450225,64.20Z,541,BOULEVARD,HONORE TEISSEIRE,06480,LA COLLE-SUR-LOUP,A
03875026100018,038750261,81.10Z,74,RUE,DE ROMAINVILLE,75019,PARIS,A
03896077900015,038960779,81.10Z,19,RUE,JEAN-JACQUES ROUSSEAU,75001,PARIS,A
03892206800010,038922068,81.10Z,22,RUE,GEORGES GAUME,94700,MAISONS-ALFORT,A
03903978900019,039039789,81.10Z,106,RUE,LEPIC,75018,PARIS,A
03936140700016,039361407,81.10Z,84,RUE,DIDOT,75014,PARIS,A
03937699100012,039376991,81.10Z,31,RUE,PIERRE SEMARD,75009,PARIS,A
03933322400010,039333224,81.10Z,64,RUE,DU RANELAGH,75016,PARIS,A
03873503100015,038735031,81.10Z,22,RUE,SINGER,75016,PARIS,A
03889772400019,038897724,81.10Z,44,RUE,DE LA ROCHEFOUCAULD,92100,BOULOGNE-BILLANCOURT,A
03901309900013,039013099,81.10Z,35,AVENUE,JUNOT,75018,PARIS,A
04009441900013,040094419,81.10Z,40,RUE,HECTOR BERLIOZ,69009,LYON,A
03895153900014,038951539,81.10Z,4,BOULEVARD,JEAN MERMOZ,92200,NEUILLY-SUR-SEINE,A
01979933700019,019799337,81.10Z,1,RUE,AURORE,06000,NICE,A
03930250000010,039302500,81.10Z,81,RUE,DU BAC,75007,PARIS,A
01419838600014,014198386,81.10Z,7,BOULEVARD,DES ALLIES,70000,VESOUL,A
01990001800011,019900018,81.10Z,27,AVENUE,DES TUILIERES,06800,CAGNES-SUR-MER,A
03898827500012,038988275,81.10Z,30,AVENUE,DU BEL AIR,92270,BOIS-COLOMBES,A
03890802600016,038908026,81.10Z,19,RUE,GEORGES CLEMENCEAU,78000,VERSAILLES,A
03872847300018,038728473,81.10Z,168,RUE,DE LA CONVENTION,75015,PARIS,A
03878875800019,038788758,81.10Z,60,RUE,LAUGIER,75017,PARIS,A
03896513300010,038965133,81.10Z,42,AVENUE,NIEL,75017,PARIS,A
03344163500019,033441635,81.10Z,,AVENUE,DU PARNASSE,64600,ANGLET,A
03898476100015,038984761,81.10Z,149,AVENUE,DU MAINE,75014,PARIS,A
03921002600017,039210026,81.10Z,18,PASSAGE,SAINT-PIERRE AMELOT,75011,PARIS,A
03906952100019,039069521,81.10Z,30,RUE,LABROUSTE,75015,PARIS,A
03876520200015,038765202,81.10Z,37,RUE,CALMELS,75018,PARIS,A
04006805800011,040068058,81.10Z,2,AVENUE,DE LA GARE,69530,BRIGNAIS,A
03970945600014,039709456,81.10Z,2,RUE,SAINT JOSEPH,42000,SAINT-ETIENNE,A
03913927400011,039139274,81.10Z,2,RUE,DE MOUZAIA,75019,PARIS,A
03914895200029,039148952,81.10Z,57,CITE,DU PARC,91200,ATHIS MONS,A
03924956000010,039249560,81.10Z,65,RUE,DU FBG DU TEMPLE,75010,PARIS 10,A
01449748100011,014497481,81.10Z,141,AVENUE,JEAN JAURES,90000,BELFORT,A
03925680500019,039256805,81.10Z,41,BOULEVARD,DE LA TOUR-MAUBOURG,75007,PARIS,A
03901814800013,039018148,81.10Z,7,PLACE,PINEL,75013,PARIS,A
04011091800014,040110918,81.10Z,230,CHEMIN,DE FONTANIERES,69350,LA MULATIERE,A
03882629300011,038826293,81.10Z,11,AVENUE,FOCH,94160,SAINT-MANDE,A
03908182300013,039081823,81.10Z,11,RUE,DE TEHERAN,75008,PARIS,A
01324849700011,013248497,81.10Z,,RUE,BURY,49400,SAUMUR,A
03901873400010,039018734,81.10Z,59,RUE,SAINT-LAZARE,75009,PARIS,A
01979791900016,019797919,81.10Z,65,BOULEVARD,DE CESSOLE,06100,NICE,A
03907532000018,039075320,81.10Z,18,RUE,ACHILLE MARTINET,75018,PARIS,A
03880561000011,038805610,81.10Z,29,RUE,GILBERT HANOT,93000,BOBIGNY,A
01364289700014,013642897,81.10Z,,PLACE,DE LA DEMI LUNE,49300,CHOLET,A
03936137300010,039361373,81.10Z,235,BOULEVARD,PEREIRE,75017,PARIS,A
03930543800010,039305438,81.10Z,18,RUE,DES PETITES ECURIES,75010,PARIS,A
03931234300013,039312343,81.10Z,48,RUE,CHAMPIONNET,75018,PARIS,A
03887114100016,038871141,81.10Z,1,ALLEE,DE MONTFORT,78340,LES CLAYES-SOUS-BOIS,A
03897770800015,038977708,81.10Z,19,RUE,DE LA COMETE,75007,PARIS,A
01316773900013,013167739,81.10Z,86,AVENUE,DU GENERAL LECLERC,72000,LE MANS,A
03912757600013,039127576,81.10Z,16,RUE,DE CHAILLOT,75016,PARIS,A
03898861400012,038988614,81.10Z,72,RUE,D'AUTEUIL,75016,PARIS,A
